Id,Label
a783,Jonathan Banks
a785,James Russo
a786,Stephen Elliott
a787,Gilbert R. Hill
a788,Art Kimbro
a789,Joel Bailey
a790,Michael Champion
a791,Mohammad Bustami
a793,Luis Buñuel
a801,Michael Glawogger
a806,Shankar Loutakke
a813,Pierre Unik
a814,Tony Kaye
a819,Edward Norton
a820,Edward Furlong
a821,Beverly D'Angelo
a822,Avery Brooks
a823,Jennifer Lien
a824,Ethan Suplee
a825,Stacy Keach
a826,Fairuza Balk
a827,Elliott Gould
a828,Guy Torry
a829,William Russ
a830,Joe Cortese
a831,Jason Bose Smith
a832,Antonio David Lyons
a833,Alex Sol
a834,Otto Preminger
a847,Ursula Buschhorn
a848,Hans Werner Meyer
a853,Alan Heim
a854,James Stewart
a855,Lee Remick
a856,Ben Gazzara
a857,Arthur O'Connell
a858,Duke Ellington
a860,Eve Arden
a861,Kathryn Grant
a862,George C. Scott
a863,Orson Bean
a865,Michael Bay
a866,Russ Brown
a869,Gale Anne Hurd
a879,Billy Bob Thornton
a880,Ben Affleck
a882,Liv Tyler
a883,Will Patton
a884,Steve Buscemi
a886,William Fichtner
a887,Owen Wilson
a894,Trevor Rabin
a898,Mark Goldblatt
a900,Christopher Boyes
a901,Rita Lengyel
a902,Milton Welsh
a908,Michael Tronick
a912,Larry Ferguson
a920,Jürgen Prochnow
a921,Brigitte Nielsen
a922,Allen Garfield
a923,Dean Stockwell
a925,Paul Guilfoyle
a926,Ola Ray
a928,Rebecca Ferratti
a930,Branko Lustig
a934,Russell Crowe
a935,Connie Nielsen
a936,Oliver Reed
a937,Derek Jacobi
a938,Djimon Hounsou
a939,David Schofield
a940,John Shrapnel
a941,Tomas Arana
a942,Ralf Moeller
a944,Arthur Max
a952,Agustín Almodóvar
a953,Cecilia Roth
a954,Marisa Paredes
a955,Penélope Cruz
a956,Guy Ritchie
a958,Candela Peña
a961,Antonia San Juan
a962,Rosa Maria Sardà
a963,Toni Cantó
a964,Eloy Azorín
a965,Fernando Fernán Gómez
a967,Iain Andrews
a973,Jason Flemyng
a974,Dexter Fletcher
a975,Nick Moran
a976,Jason Statham
a978,Steven Mackintosh
a980,Vinnie Jones
a982,Sting
a984,Nicholas Rowe
a985,Nick Marcq
a986,Charles Forbes
a987,Lenny McLean
a988,Peter McNicholl
a989,P.H. Moriarty
a990,Frank Harper
a991,Steve Sweeney
a992,Huggy Leaver
a993,Tony McMahon
a994,Stephen Marcus
a995,Vas Blackwood
a1003,Jean Reno
a1004,Danny Aiello
a1005,Peter Appel
a1006,Willi One Blood
a1007,Don Creech
a1008,Keith A. Glascoe
a1009,Randolph Scott
a1010,Michael Badalucco
a1017,Sonja Richter
a1018,Nikolaj Lie Kaas
a1019,Mads Mikkelsen
a1021,Stine Bjerregaard
a1023,Niels Olsen
a1024,Ulf Pilgaard
a1025,Ronnie Lorenzen
a1026,Anders Nyborg
a1032,Martin Scorsese
a1035,Paul Schrader
a1036,Cybill Shepherd
a1037,Harvey Keitel
a1038,Jodie Foster
a1039,Peter Boyle
a1040,Leonard Harris
a1041,Diahnne Abbott
a1042,Frank Adu
a1043,Gino Ardito
a1044,Michael Chapman
a1045,Bernard Herrmann
a1058,Bob Gale
a1060,Dean Cundey
a1062,Christopher Lloyd
a1063,Lea Thompson
a1064,Crispin Glover
a1065,Thomas F. Wilson
a1066,Claudia Wells
a1067,Marc McClure
a1068,Wendie Jo Sperber
a1069,George DiCenzo
a1070,Frances Lee McCain
a1072,James Tolkan
a1074,Harry Waters Jr
a1081,Herbert Knaup
a1082,Nina Petri
a1083,Armin Rohde
a1084,Joachim Król
a1086,Heino Ferch
a1087,Lars Rudolph
a1088,Ludger Pistor
a1091,Joel Silver
a1095,Donald McAlpine
a1097,Jackie Burch
a1098,Mark Helfrich
a1100,Arnold Schwarzenegger
a1101,Carl Weathers
a1102,Elpidia Carrillo
a1103,Bill Duke
a1104,Jesse Ventura
a1105,Sonny Landham
a1106,Richard Chaves
a1107,R. G. Armstrong
a1108,Shane Black
a1109,Kevin Peter Hall
a1115,Stephen Graham
a1116,Alan Ford
a1117,Dennis Farina
a1118,Rade Serbedzija
a1119,Robbie Gee
a1120,Lennie James
a1121,Benicio del Toro
a1122,Mike Reid
a1123,Andy Beckwith
a1124,William Beck
a1125,Ewen Bremner
a1128,Agnieszka Holland
a1132,Krzysztof Piesiewicz
a1137,Juliette Binoche
a1138,Benoît Régent
a1139,Florence Pernel
a1140,Charlotte Véry
a1141,Hélène Vincent
a1142,Philippe Volter
a1145,Zbigniew Zamachowski
a1146,Julie Delpy
a1147,Janusz Gajos
a1148,Jerzy Stuhr
a1149,Aleksander Bardini
a1150,Brian De Palma
a1152,Oliver Stone
a1153,John A. Alonzo
a1154,Giorgio Moroder
a1158,Al Pacino
a1159,Steven Bauer
a1160,Michelle Pfeiffer
a1161,Mary Elizabeth Mastrantonio
a1162,Robert Loggia
a1163,Miriam Colón
a1164,F. Murray Abraham
a1165,Paul Shenar
a1166,Harris Yulin
a1167,Ángel Salazar
a1168,Arnaldo Santana
a1169,Pepe Serna
a1170,Michael P. Moran
a1171,Al Israel
a1172,Dennis Holahan
a1173,Mark Margolis
a1177,Ib Tardini
a1181,Peter Gantzler
a1182,Sara Indrio Jensen
a1183,Ann Eleonora Jørgensen
a1184,Anders W. Berthelsen
a1185,Anette Støvelbæk
a1186,Lars Kaalund
a1187,Saul Stein
a1188,Kim Ki-duk
a1192,Kim So-hee
a1201,Garry Marshall
a1204,Julia Roberts
a1205,Richard Gere
a1206,Jason Alexander
a1208,Ralph Bellamy
a1209,Elinor Donahue
a1210,Héctor Elizondo
a1211,Larry Miller
a1212,Laura San Giacomo
a1219,Amy Yasbeck
a1220,Judith Baldwin
a1223,Joel Coen
a1224,Ethan Coen
a1226,Rick Heinrichs
a1229,Jeff Bridges
a1230,John Goodman
a1231,Julianne Moore
a1232,David Huddleston
a1233,Philip Seymour Hoffman
a1234,Tara Reid
a1235,Philip Moon
a1236,Mark Pellegrino
a1237,Flea
a1238,Torsten Voges
a1239,Jimmie Dale Gilmore
a1240,Jack Kehler
a1241,John Turturro
a1242,James G. Hoosier
a1243,Woody Allen
a1244,Jonathan Rhys Meyers
a1245,Scarlett Johansson
a1246,Emily Mortimer
a1247,Matthew Goode
a1248,Brian Cox
a1249,Penelope Wilton
a1250,Alexander Armstrong
a1251,Remi Adefarasin
a1255,David Mamet
a1263,Lynn Stalmaster
a1264,Bill Pankow
a1265,Letty Aronson
a1268,Stephen Tenenbaum
a1269,Kevin Costner
a1270,Charles Martin Smith
a1271,Andy García
a1272,Richard Bradford
a1273,Jack Kehoe
a1274,Brad Sullivan
a1275,Billy Drago
a1276,Patricia Clarkson
a1277,Vito D'Ambrosio
a1278,Steven Goldstein
a1279,Peter Aylward
a1280,Don Harvey
a1281,Freddie Highmore
a1282,David Kelly
a1283,Helena Bonham Carter
a1284,Noah Taylor
a1285,AnnaSophia Robb
a1286,Julia Winter
a1290,Jordan Fry
a1291,Philip Wiegratz
a1292,James Fox
a1293,Franziska Troegner
a1294,Missi Pyle
a1295,Deep Roy
a1297,Richard D. Zanuck
a1300,John August
a1304,Gabriella Pescucci
a1307,Bob Weinstein
a1310,Saul Zaentz
a1313,Andrew Lesnie
a1323,Richard Taylor
a1324,Victoria Burrows
a1326,Liz Mullane
a1327,Ian McKellen
a1328,Sean Astin
a1329,Billy Boyd
a1330,Dominic Monaghan
a1331,Hugo Weaving
a1332,Craig Parker
a1333,Andy Serkis
a1336,Jet Li
a1337,Tony Leung Chiu-Wai
a1338,Maggie Cheung
a1339,Zhang Ziyi
a1340,Chen Dao-Ming
a1341,Donnie Yen
a1342,Liu Zhong Yuan
a1343,Zheng Tia Yong
a1344,Yan Qin
a1345,Chang Xiao Yang
a1350,Irène Jacob
a1352,Jean-Louis Trintignant
a1354,Frédérique Feder
a1356,Jean-Pierre Lorit
a1357,Christopher Doyle
a1365,Lawrence Makoare
a1366,Sala Baker
